key,2
#,
offset,0
int32,str
0,
1,"魔導裝甲的殘骸。
這裡難道經歷了激烈的戰鬥？"
2,"久經使用的劍和盾。
看起來不像是加雷馬帝國軍的裝備。
它們的主人究竟是誰？"
3,"好像是西德年輕時記錄的衛月觀測數據。
上面書寫著整整齊齊的文字和複雜的公式。

根據西德推測，
衛月擁有收集太陽能後進行轉換、輸送的機能。

如果在未做好接收準備的情況下啟動衛月，
積蓄了數千年的龐大能量將會從天而降，
造成重大的事故。"
4,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……"
7,"看樣子是遭到了被控制的帝國兵襲擊，已經咽氣了。
從懷中搜到了軍用恢復藥。"
8,"看樣子是曾經拚命抵抗過，但已經咽氣了。
從懷中搜到了軍用恢復藥。"
9,"腿部受損的魔導死神。
機器還留有餘溫，不久之前應該還被人駕駛過。
如果有認證密鑰和燃料應該可以啟動。
使用這台機器的魔導加農砲，
也許能掃清正面的敵人……"
10,"腿部受損的魔導死神。
使用了認證密鑰，但因為缺少燃料無法啟動。
尋找魔導死神的殘骸，搜索燃料。"
11,"魔導死神的殘骸。
駕駛席的量表顯示還殘留著燃料。
看樣子可以拆下青磷水箱。"
12,"腿部受損的魔導死神。
在剛才的戰鬥中徹底損毀，失去了戰鬥能力。"
13,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……"
14,"魔導死神的殘骸。
駕駛席的量表顯示還殘留著燃料，
但受損十分嚴重，已經無法再次使用了……"
15,"已經咽氣了。
如果是自己的身體，是否能拯救他呢……"
16,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……"
17,"疑似是新兵的帝國兵已經咽氣了。
從懷中搜到了軍用恢復藥。"
19,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了帝國式強壯劑！"
20,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用恢復藥！"
21,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用恢復藥！"
22,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用恢復藥！"
23,已經咽氣了。
24,"看樣子是從背後遭到了襲擊，已經咽氣了。
從懷中搜到了軍用恢復藥！"
25,已經咽氣了。
26,"破爛的小麻袋。
從裡面發現了軍用恢復藥！"
27,"破爛的小麻袋。
從裡面發現了帝國式恢復劑！"
28,"腿部受損的魔導死神。
補充了燃料，但因為缺少認證密鑰無法啟動。
搜索一下看看原本的駕駛員有沒有躲在附近。"
29,"水面泛起了波紋，開始產生細小的氣泡……
想像了一下葉小妖的幼崽在葉片的後面扎堆的情景。"
30,"在葉片的表面有被踐踏的痕跡。
是誰在打水時留下的嗎？"
31,"在水底發現了被植物寄生的動物屍骸。
是在尋找食物的時候迷路了嗎？"
32,"發現了有輕微燒焦痕跡的水草。
很像是賢者的攻擊術式留下的……"
33,"
刻有通用語構成的文章……

「創世之初，勇猛火神，賜予勇敢的我等烈焰。
聖火傳承，繼承自先祖的烈焰，回答其名！」
"
34,"地上有一張充滿塗鴉的紙片。
也許是偷盜者的筆記。

翠綠的稀有礦石，
孔雀石之間，綠色與黃色的布袋。
瓦礫上，牆角邊。"
35,"魔物的屍體。
上面留有被利爪撕裂的傷痕……"
36,"四處散落著亂糟糟的羽毛。
是在這附近大鬧了一番嗎？"
37,"地上有動物的糞便。
似乎才剛排泄了沒多久……"
38,終端的螢幕上排列着大量可能是姓名的字符串。<hex:02100103>看起來像是那些「將記憶寄託在雲端」者的名單。<hex:02100103><hex:02100103>其中是否也有納米卡的名字呢……。
39,處理魂資源時，請遵守手冊中的工序。<hex:02100103>我們管理的是新生亞歷山德里亞聯王國最重要的資源，<hex:02100103>損壞、消失都是嚴重的罪行。<hex:02100103>第一工序：抽取靈魂<hex:02100103>將保存在調節器內的「靈魂」和「記憶」混合乙太抽取出來，<hex:02100103>然後在膠囊內穩定。<hex:02100103>抽取混合乙太的過程越急，<hex:02100103>損壞率也會越高，除緊急情況外不得更改。
40,特別監視對象靈魂，<hex:02100103>ID161127，個體名「納米卡」。<hex:02100103>生命活動停止時，肉體年齡86歲……。<hex:02100103>國民的記憶消除，已正常處理。<hex:02100103>剩餘肉體的處理，已正常處理。<hex:02100103>混合乙太抽取，已正常處理。
41,第二工序：分離記憶和靈魂<hex:02100103>利用分離器將混合乙太分離成「靈魂」和「記憶」，<hex:02100103>分別送往第三工序。<hex:02100103>「靈魂」送往上層進行最終處理工序。<hex:02100103>「記憶」通過隱秘路線送往主終端。<hex:02100103><hex:02100103>另外，魔物的「記憶」無需保存。<hex:02100103>除特殊用途外，全部廢棄。
42,第三工序：漂白<hex:02100103>將附著在分離出的「靈魂」上的記憶殘渣進行完全漂白。<hex:02100103>漂白光對生物體有害，作業時需謹慎。<hex:02100103>此外，附有記憶殘渣的靈魂資源若被注入，<hex:02100103>可能會導致記憶混亂或人格崩潰。<hex:02100103>需通過高精度的感應裝置確認是否有殘渣。<hex:02100103>經過以上工序，靈魂資源將回饋社會。<hex:02100103>希望諸君自覺到自己的工作今天也在支撐國家的運轉，<hex:02100103>務必誠實執行任務。
43,實驗記錄216……個體名「安布羅斯」。<hex:02100103>本實驗是在無魂的肉體上裝上試作型連接調節器，<hex:02100103>同時投入多個魔物和人的靈魂資源。<hex:02100103>目前，實驗體像生物一樣活動，<hex:02100103>但人格已破裂，似乎被破壞衝動驅使。<hex:02100103>這一點可能是由於魔物的靈魂佔據優勢。<hex:02100103>雖然其藴藏著極強的戰鬥力，<hex:02100103>但不得不説其控制難度大，可靠性低。<hex:02100103>今後的實驗重點將是固定「忠實的人格」。
