key,0,1,2,3,4,5,6,7,8,9
#,,,,,,,,,,
offset,8,12,20,21,22,23,24,16,0,4
int32,int32,int32,byte,byte,byte,byte,byte,int32,str,str
0,0,0,0,0,0,0,0,0,,
1,20,0,30,3,1,1,1,15,絨絨火炎,對莫古力前方的1名敵人造成<hex:022003E80203>點傷害<hex:02100103>消耗魔力：<hex:022003E80403>　複唱回合：<hex:022003E80503>
2,10,8,40,4,3,3,2,25,絨絨星體風暴,對莫古力前方第<hex:022003E80303>格，以及此格周圍的敵人造成<hex:022003E80203>點傷害<hex:02100103>消耗魔力：<hex:022003E80403>　複唱回合：<hex:022003E80503>
3,15,0,80,10,0,0,3,50,絨絨隕石,對所有敵人造成<hex:022003E80203>點傷害<hex:02100103>消耗魔力：<hex:022003E80403>　複唱回合：<hex:022003E80503>
4,50,0,10,1,0,0,4,0,絨絨治療,恢復莫古力<hex:022003E80203>點體力<hex:02100103>消耗魔力：<hex:022003E80403>　複唱回合：<hex:022003E80503>
5,0,0,20,3,0,0,5,0,絨絨康復,解除莫古力身上除死亡宣告外所有的弱化效果<hex:02100103>消耗魔力：<hex:022003E80403>　複唱回合：<hex:022003E80503>
6,0,0,30,3,0,0,6,0,絨絨屏障,為莫古力附加能夠抵禦傷害的防護罩<hex:02100103>持續回合：<hex:022003E80603><hex:02100103>消耗魔力：<hex:022003E80403>　複唱回合：<hex:022003E80503>
7,0,0,20,3,0,0,7,0,絨絨浮空,讓莫古力浮空，免受地面效果的影響<hex:02100103>持續回合：<hex:022003E80603><hex:02100103>消耗魔力：<hex:022003E80403>　複唱回合：<hex:022003E80503>
8,0,0,50,99,0,0,8,0,絨絨重生,莫古力陷入無法戰鬥狀態時自動復活1次<hex:02100103>持續回合：永久<hex:02100103>消耗魔力：<hex:022003E80403>　複唱回合：<hex:022003E80503>
9,100,0,0,0,0,0,0,0,,
10,100,0,0,0,0,0,0,0,,
11,0,0,0,0,0,0,0,0,,
12,0,0,0,0,0,0,0,0,,
13,100,0,0,0,0,7,0,0,,
14,10,2,0,0,0,1,0,0,,
15,100,0,0,0,0,1,0,0,,
16,0,0,0,0,0,0,0,0,,
17,0,0,0,0,0,0,0,0,,
18,9999,0,0,0,0,0,0,0,,
